pl_radius,pl_mass,star_temp,star_radius,pl_mass_log,pl_radius_log
2.89646124,10.9,6007.0,1.3174,2.4765384001174837,1.3600687668633207
1.242,2.33,3381.0,0.246,1.2029723039923526,0.8073683246499681
2.62,23.5,4869.0,0.77,3.1986731175506815,1.2864740258376797
2.59125922,7.23,5090.09,0.820458,2.1077860146889784,1.2785028986592675
10.98482,344.52772,5965.0,1.637,5.845072871537827,2.483640849000098
2.74,6.74,4540.0,0.678,2.046401687601636,1.3190856114264407
8.574885,112.19399,4405.0,0.6977,4.7291030724868675,2.2591435245507197
0.96,0.84,4752.0,0.669,0.6097655716208943,0.6729444732424258
2.34,6.08,4673.0,0.72,1.9572739077056285,1.205970806988609
13.0,1321.53051631,5387.0,0.909,7.187302238180793,2.639057329615259
1.35,2.39,5679.0,0.95,1.220829921392359,0.8544153281560676
1.70557445,3.55,5633.0,1.162,1.515127232962859,0.9953142557408896
19.95202,301.9385,6279.0,2.37,5.713529814611081,3.0422350617677654
2.14,21.755,5553.0,0.934,3.124784901468605,1.144222799920162
12.8,1737.88572948,5688.0,1.22,7.4609998017179695,2.624668592163159
1.19,1.81,5550.0,0.91,1.0331844833456545,0.7839015438284094
12.3,4003.68444298,5352.05,0.89,8.295220065631762,2.5877640352277083
1.73,35.4,3767.0,0.49,3.594568774642695,1.0043016091968684
3.2,10.3,6200.0,1.19,2.424802725718295,1.4350845252893227
1.47,2.76,5685.0,0.96,1.324418957401803,0.9042181506398859
2.47,254.02,5428.0,0.945,5.5413419734553955,1.244154593958768
13.6,444.00628458,4919.0,4.63,6.098088404718202,2.681021528714291
2.54,6.99,4742.0,0.66,2.0781907597781832,1.264126727145683
0.755,0.326,2566.0,0.1192,0.28216689176367077,0.5624688569178291
13.2,804.42369812,6300.0,1.935709,6.69136847202222,2.653241964607215
1.69,3.5,6350.0,1.55,1.5040773967762742,0.9895411936137477
2.056,4.88,5649.18,1.467,1.7715567619105355,1.117106871304274
3.7761677026412404,6.2,4596.0,0.69,1.9740810260220096,1.5636384890921824
7.1888212,40.9,6137.02,1.91334,3.735285826928092,2.102769955881896
2.11,5.1,6035.0,1.02,1.8082887711792655,1.1346227261911428
1.35670508,2.41,5734.0,0.962,1.2267122912954256,0.8572644909660877
14.2,130.0,4640.0,0.68,4.875197323201151,2.7212954278522306
3.29,9.9,4850.0,0.731,2.388762789235098,1.4562867329399256
14.594,589.55,5870.0,1.038,6.381054306057856,2.746886224887408
